,,,,
Health Block Name,Format Type,Facility Name,Ownership,M2 [Deliveries]
SONIPAT URBAN,PHC Format,Dahiya Eye and Maternity Hospital,Private,46
Kharkhoda,PHC Format,Puranchand Hospital,Private,45
Badkhalsa,SDH Format,Nawal Hospital,Private,43
Gohana,PHC Format,TARAWATI HOSPITAL,Private,40
SONIPAT URBAN,SDH Format,Memorial Hospital,Private,38
Gannaur,PHC Format,Kukreja Nursing Home,Private,36
Kharkhoda,PHC Format,JASWANTI DEVI HOSPITAL,Private,36
SONIPAT URBAN,SDH Format,Ujala Cygnus Hospital,Private,35
Gohana,PHC Format,MISSION HOSPITAL,Private,33
Gohana,PHC Format,STAR HOSPITAL,Private,31
SONIPAT URBAN,PHC Format,Shiv clinic,Private,31
Gohana,PHC Format,SRISHTI HOSPITAL,Private,26
SONIPAT URBAN,PHC Format,Rama Hospital,Private,26
SONIPAT URBAN,PHC Format,Dua Hospital,Private,25
Kharkhoda,PHC Format,Dr. Sethi's Amar Hospital,Private,24
SONIPAT URBAN,PHC Format,RAI MULTISPECIALITY HOSPITAL,Private,24
Kharkhoda,PHC Format,HOSHIAR SINGH MEMORIAL MULTI SPECIALITY HOSPITAL,Private,23
Gohana,PHC Format,SETIYA NURSING HOME,Private,19
SONIPAT URBAN,PHC Format,RAJ HOSPITAL,Private,18
SONIPAT URBAN,PHC Format,NAVJEEVAN HOSPITAL,Private,17
Gohana,PHC Format,AASTHA  MULTISPECIALITY HOSPITAL,Private,16
Gannaur,PHC Format,MAHARAJA AGGRESAIN,Private,14
SONIPAT URBAN,PHC Format,IRIS HOSPITAL,Private,14
SONIPAT URBAN,PHC Format,Kalawati Anand Hospital and Digestive Disease Centre,Private,14
Halalpur,PHC Format,Chiranjiv Hospital,Private,11
SONIPAT URBAN,PHC Format,Sanjeevani Hospital,Private,11
SONIPAT URBAN,PHC Format,JANTA HOSPITAL,Private,9
Gannaur,PHC Format,VIVAN HOSPITAL,Private,6
Kharkhoda,PHC Format,Neelam sachdewa Hospital,Private,6
SONIPAT URBAN,SDH Format,Haryana Multispecialty Hospital,Private,5
SONIPAT URBAN,SDH Format,Primax Gastro institute,Private,5
Kharkhoda,PHC Format,Kesav Hospital,Private,4
SONIPAT URBAN,PHC Format,ARISTO HOSPITAL,Private,4
Gohana,PHC Format,CHAHAL HOSPITAL,Private,3
Halalpur,PHC Format,NEW JEEVAN HOSPITAL,Private,3
Gannaur,PHC Format,DHANKAR NURSING HOME,Private,0
Kharkhoda,PHC Format,KAILASH HOSPITAL,Private,0
Kharkhoda,PHC Format,KANTA HOSPITAL,Private,0
Badkhalsa,PHC Format,Jiya hospital Pvt. Ltd.,Private,0
Badkhalsa,SDH Format,Hasija Hospital,Private,0
Gohana,PHC Format,GUPTA CHILDREN HOSPITAL,Private,
SONIPAT URBAN,PHC Format,CHANDA HOSPITAL,Private,
SONIPAT URBAN,PHC Format,Child Care Clinic,Private,
SONIPAT URBAN,PHC Format,MASOOM HOSPITAL,Private,
SONIPAT URBAN,PHC Format,NAVREKHA NURSING HOME,Private,
SONIPAT URBAN,PHC Format,Sai new born care centre,Private,
,,,,
Physical,,,,
